featureid,species,catch,year_min,year_max
202974246,BKT,1,2006,2006
202974346,BKT,0,NA,NA
202974441,BKT,0,NA,NA
202974561,BKT,1,2008,2008
202974894,BKT,11,2007,2007
202975188,BKT,123,1995,1995
202975282,BKT,8,2006,2006
202975427,BKT,0,NA,NA
202975448,BKT,0,NA,NA
202975457,BKT,0,NA,NA
202975546,BKT,0,NA,NA
202975618,BKT,7,2003,2003
202975735,BKT,4,2006,2006
202975803,BKT,5,2006,2006
202975862,BKT,0,NA,NA
202975889,BKT,1,2010,2010
202975933,BKT,0,NA,NA
202975943,BKT,55,2006,2006
202976029,BKT,0,NA,NA
202976250,BKT,0,NA,NA
202976310,BKT,0,NA,NA
202976340,BKT,0,NA,NA
202976389,BKT,1,1992,1992
202976592,BKT,6,1999,1999
202976779,BKT,15,2005,2005
202976882,BKT,18,1993,1993
202976952,BKT,0,NA,NA
202977051,BKT,184,1999,1999
202977226,BKT,4,2000,2000
202977441,BKT,0,NA,NA
202977469,BKT,3,1993,1993
202977478,BKT,31,1993,1993
202977494,BKT,0,NA,NA
202977504,BKT,202,1997,1997
202977608,BKT,7,1999,1999
202977720,BKT,69,1991,2003
202977721,BKT,22,2008,2009
202977722,BKT,0,NA,NA
202977797,BKT,1,2006,2006
202977999,BKT,1,1999,1999
202978093,BKT,0,NA,NA
202978196,BKT,0,NA,NA
202978210,BKT,1,1993,1993
202978233,BKT,3,1999,1999
202978241,BKT,0,NA,NA
202978263,BKT,0,NA,NA
202978324,BKT,37,2006,2006
202978487,BKT,1,2006,2006
202978538,BKT,18,1991,2003
202978547,BKT,98,1999,1999
202978553,BKT,0,NA,NA
202978663,BKT,0,NA,NA
202978664,BKT,3,2006,2007
202978665,BKT,1,1993,1993
202978672,BKT,0,NA,NA
202978676,BKT,1,2000,2000
202978695,BKT,0,NA,NA
202978718,BKT,7,1999,1999
202978741,BKT,0,NA,NA
202978798,BKT,0,NA,NA
202978804,BKT,0,NA,NA
202978812,BKT,0,NA,NA
202978861,BKT,13,2003,2003
202978931,BKT,9,2003,2003
202978941,BKT,0,NA,NA
202978986,BKT,1,2000,2000
202979006,BKT,0,NA,NA
202979041,BKT,20,1991,2003
202979048,BKT,16,2003,2003
202979093,BKT,0,NA,NA
202979103,BKT,0,NA,NA
202979108,BKT,196,1999,1999
202979142,BKT,1,2000,2000
202979152,BKT,0,NA,NA
202979174,BKT,0,NA,NA
202979491,BKT,0,NA,NA
202979532,BKT,3,2003,2003
202979554,BKT,6,1991,1991
202979635,BKT,77,1999,1999
202979692,BKT,0,NA,NA
202979700,BKT,1,2000,2000
202979804,BKT,0,NA,NA
202979844,BKT,40,1999,1999
202979899,BKT,2,2009,2009
202979984,BKT,2,1991,1991
202979996,BKT,0,NA,NA
202980096,BKT,54,1999,2009
202980157,BKT,5,1999,1999
202980184,BKT,0,NA,NA
202980305,BKT,1,2009,2009
202980362,BKT,1,1993,1993
202980385,BKT,0,NA,NA
202980394,BKT,0,NA,NA
202980398,BKT,0,NA,NA
202980423,BKT,0,NA,NA
202980430,BKT,112,2007,2007
202980489,BKT,0,NA,NA
202980493,BKT,95,2007,2007
202980504,BKT,0,NA,NA
202980559,BKT,0,NA,NA
202980574,BKT,0,NA,NA
202980576,BKT,10,1999,1999
202980585,BKT,0,NA,NA
202980599,BKT,0,NA,NA
202980611,BKT,22,2006,2006
202980616,BKT,0,NA,NA
202980666,BKT,0,NA,NA
202980668,BKT,2,2006,2006
202980699,BKT,0,NA,NA
202980726,BKT,0,NA,NA
202980741,BKT,0,NA,NA
202980759,BKT,2,2000,2000
202980761,BKT,1,2009,2009
202980782,BKT,0,NA,NA
202980783,BKT,0,NA,NA
202980799,BKT,0,NA,NA
202980813,BKT,0,NA,NA
202980814,BKT,0,NA,NA
202980817,BKT,0,NA,NA
202980825,BKT,0,NA,NA
202980856,BKT,0,NA,NA
202980862,BKT,0,NA,NA
202980952,BKT,38,2006,2006
202980977,BKT,0,NA,NA
202980984,BKT,0,NA,NA
202980986,BKT,0,NA,NA
202981035,BKT,58,2007,2007
202981046,BKT,1,1999,1999
202981065,BKT,0,NA,NA
202981110,BKT,22,1997,1997
202981111,BKT,0,NA,NA
202981117,BKT,32,2007,2007
202981131,BKT,0,NA,NA
202981143,BKT,26,1997,1997
202981182,BKT,0,NA,NA
202981199,BKT,23,1993,1993
202981207,BKT,2,2000,2009
202981216,BKT,0,NA,NA
202981235,BKT,4,1999,1999
202981265,BKT,0,NA,NA
202981266,BKT,0,NA,NA
202981440,BKT,0,NA,NA
202981484,BKT,0,NA,NA
202981485,BKT,1,2000,2000
202981491,BKT,0,NA,NA
202981533,BKT,0,NA,NA
202981543,BKT,112,2007,2007
202981558,BKT,0,NA,NA
202981561,BKT,5,1997,1997
202981576,BKT,0,NA,NA
202981578,BKT,0,NA,NA
202981691,BKT,0,NA,NA
202981692,BKT,9,2010,2010
202981697,BKT,2,1999,1999
202981700,BKT,3,1997,1997
202981735,BKT,1,1999,1999
202981739,BKT,0,NA,NA
202981806,BKT,0,NA,NA
202981853,BKT,0,NA,NA
202981921,BKT,0,NA,NA
202981944,BKT,0,NA,NA
202981948,BKT,1,2007,2007
202981957,BKT,1,1999,1999
202982004,BKT,0,NA,NA
202982007,BKT,1,1999,1999
202982026,BKT,23,2001,2006
202982082,BKT,8,1991,1991
202982085,BKT,0,NA,NA
202982112,BKT,1,1999,1999
202982128,BKT,0,NA,NA
202982151,BKT,23,2006,2007
202982207,BKT,0,NA,NA
202982286,BKT,10,2009,2009
202982322,BKT,0,NA,NA
202982332,BKT,0,NA,NA
202982340,BKT,0,NA,NA
202982342,BKT,0,NA,NA
202982352,BKT,9,2009,2009
202982371,BKT,0,NA,NA
202982406,BKT,4,2009,2009
202982408,BKT,0,NA,NA
202982416,BKT,0,NA,NA
202982463,BKT,0,NA,NA
202982464,BKT,0,NA,NA
202982483,BKT,0,NA,NA
202982486,BKT,0,NA,NA
202982506,BKT,1,1999,1999
202982507,BKT,15,1999,2007
202982540,BKT,0,NA,NA
202982548,BKT,0,NA,NA
202982587,BKT,0,NA,NA
202982597,BKT,0,NA,NA
202982630,BKT,0,NA,NA
202982671,BKT,4,1998,1998
202982700,BKT,0,NA,NA
202982701,BKT,5,1997,1997
202982722,BKT,0,NA,NA
202982731,BKT,0,NA,NA
202982739,BKT,39,2001,2001
